num,located,located2,moni_address,lon,lat,stat,st_code,pm2_5,geom,pm10,o3,no2,co,so2
160,강원,남양동1,강원 삼척시 남양길 11(남양동 331-9) 남양동주민센터 3층 옥상,129.1683387,37.44259984,정좌표,033,18,0101000020E6100000D664D70763256040E6018F1CA7B84240,44,0.057,0.011,0.5,0.003
303,대구,다사읍,대구광역시 달성군 다사읍 매곡로12길 37 다사읍주민자치센터,128.4573074,35.86481589,정좌표,053,35,0101000020E610000000E72043A20E60403A4E7E49B2EE4140,67,0.106,0.009,0.4,0.002
435,광주,건국동,광주 북구 첨단과기로 333 (광주테크노파크 벤처지원센터 옥상) 광주테크노파크 벤처지원센터 옥상,126.8624925,35.22932526,정좌표,062,27,0101000020E6100000E622BE1333B75F4061ECB5875A9D4140,-1,0.095,0.013,0.4,0.003
166,강원,양구읍,강원도 양구군 양구읍 관공서로 33 양구읍 측정소,127.9898361,38.10922145,정좌표,033,16,0101000020E61000009D79837959FF5F40C7E2EDF7FA0D4340,48,0.083,0.006,0.3,0.002
408,전남,부흥동,전남 목포시 삼향천로 28(옥암동) 부흥동주민센터,126.4345339,34.80429658,정좌표,061,7,0101000020E610000037604667CF9B5F403CB1B930F3664140,58,0.063,0.006,0.4,0.003
7,서울,구로구,서울 구로구 가마산로 27길 45 구로고등학교,126.8894727,37.49775018,정좌표,02,50,0101000020E6100000D44BE71EEDB85F40CC562447B6BF4240,100,0.076,0.038,0.5,0.005
161,강원,문막읍,강원도 원주시 문막읍 건등로 11 문막읍행정복지센터 부지내 지상,127.8170035,37.31277375,정좌표,033,32,0101000020E6100000EC4D0CC949F45F400DA661F808A84240,66,0.105,0.011,0.4,0.004
12,서울,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,126.9716328,37.48097418,정좌표,02,39,0101000020E610000023EE563B2FBE5F4003A9DA8F90BD4240,96,0.088,0.031,0.5,0.004
392,경남,하동읍,경남 하동군 하동읍 군청로 23 (하동군청),127.7513141,35.06730881,정좌표,055,24,0101000020E61000008421BC8715F05F4062D738939D884140,69,0.098,0.013,0.4,0.007
431,전남,해남읍,전라남도 해남군 해남읍 남부순환로 114 해남읍사무소,126.5994049,34.56543006,정좌표,061,22,0101000020E6100000FAA35EA65CA65F400AF01F0360484140,52,0.082,0.007,0.4,0.004
16,서울,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,127.0496882,37.54203211,정좌표,02,43,0101000020E6100000D17F6A172EC35F407BEAE44E61C54240,85,0.112,0.035,0.5,0.005
18,서울,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),127.0925224,37.50272401,정좌표,02,37,0101000020E61000006F8912E3EBC55F4097EEA64259C04240,82,0.112,0.025,0.5,0.004
170,강원,인제읍,강원도 인제군 인제읍 비봉로44번길 93 인제군기상관측소,128.1667859,38.06014081,정좌표,033,5,0101000020E6100000E33D624F560560406F0DAEB1B2074340,46,0.07,0.003,0.1,0.003
24,서울,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,126.9759778,37.56454791,정좌표,02,44,0101000020E6100000CF27976B76BE5F40D23C1D1B43C84240,95,0.085,0.03,0.5,0.004
92,경기,연천,경기 연천군 연천읍 차현로 58 연천군청 지역경제과,127.0762768,38.09646984,정좌표,031,29,0101000020E6100000635C16B8E1C45F40D8ECAB1F590C4340,78,0.107,0.008,0.5,0.005
168,강원,영월읍,강원도 영월군 영월읍 팔괴로 7-3 능동배수펌프장 부지내 지상,128.4553109,37.17258265,정좌표,033,17,0101000020E610000065202AE8910E6040B3CD323017964240,55,0.085,0.01,0.4,0.003
171,강원,정선읍,강원도 정선군 정선읍 정선로 1331 정선읍행정복지센터 옥상,128.6617084,37.38006064,정좌표,033,9,0101000020E6100000A22F18B72C156040FFA5B9D3A5B04240,46,0.073,0.006,0.3,0.002
165,강원,신사우동,강원도 춘천시 사우4길 26 신사우도서관 2층 옥상 (우두동),127.7282018,37.90554365,정좌표,033,28,0101000020E6100000DAF8B8DB9AEE5F40DCECB4DAE8F34240,62,0.092,0.01,0.5,0.002
267,부산,덕포동,부산 사상구 삼덕로 83 덕포초등학교 운동장 북서쪽 화단 (덕포동),128.9862638,35.17360006,정좌표,051,35,0101000020E610000051C719798F1F60404E24DA8638964140,80,0.075,0.024,0.4,0.004
